codigo_produto,descricaoproduto,codigo_familia,custo_produto_unitario
1085508,Fun Electronics Maroon #506,27,114.54
1085509,Eco-Friendly Electronics Teal #150,27,122.51
1085511,Stylish Electronics Blue #922,27,122.5
1085512,Powerful Electronics Navy #373,27,122.5
1085605,Luxurious Electronics Red #972,27,158.7
1085606,Sustainable Electronics Olive #218,27,158.69
1085607,High-Quality Electronics Pink #727,27,135.03
1085611,Luxurious Electronics Gray #892,27,144.41
1085612,Versatile Electronics Teal #196,27,135.03
1085801,Comfortable Electronics Red #509,27,182.42
1085802,Beautiful Electronics Gray #333,27,189.03
1085805,Sophisticated Electronics Orange #239,27,144.42
1086300,Practical Electronics Cyan #243,27,133.42
1086301,Practical Electronics Olive #95,27,133.42
1091000,Modern Books Lime #788,49,102.87
1095700,High-Quality Audiobooks Brown #190,33,370.48
1097100,Durable Books Gray #731,26,134.3
1104200,Fun Electronics Blue #61,27,160.52
1105100,Eco-Friendly Rings Blue #357,DLR,10.97
1125100,Innovative Kitchen Appliances Yellow #302,CAE,4336.0
1126100,Practical Arts and Crafts Pink #278,190,33.44
1127900,Stylish Bedding Yellow #709,74,1.02
1136700,Useful Musical Instruments Pink #658,52,91.11
1143500,Innovative Health and Wellness Black #188,DAL,1.77
1145900,Powerful Home Appliances Green #386,MMS,581.08
1147000,Practical Household Goods Red #996,1,25.27
1148900,Eco-Friendly Beauty Products Red #97,35,25.9
1151800,Eco-Friendly Electronics Gold #677,27,165.87
1160900,Delicious Jewelry Olive #448,CR,1818.91
1161300,Fun Jewelry Navy #2,CR,2424.82
1164100,Sustainable Jewelry Orange #593,CR,2286.55
1166700,Versatile Electronics Cyan #744,27,160.06
1176400,High-Quality Arts and Crafts Green #256,190,79.44
1177400,Luxurious Home Decor Navy #581,FR,12.63
1177800,Powerful Clothing Pink #186,130,10.46
1183001,Eco-Friendly Automotive Parts and Accessories Gray #917,333,1180.89
1183301,Eco-Friendly Hobbies Teal #778,18,65.89
1202200,Modern Household Goods Black #346,1,171.32
1223300,Innovative Mens Watches Teal #453,69,8.58
1224600,Sophisticated Consoles Yellow #766,CBE,1702.24
1224700,Practical Streaming Services Pink #38,ENT,111.38
1225300,Versatile Plants and Flowers Olive #630,ROHO,432.17
1225400,Powerful Plants and Flowers Silver #171,ROHO,432.17
1228000,High-Quality Musical Accessories Black #53,CBP,35.86
1243200,Powerful Software Navy #758,036,76.99
1243300,Comfortable Software Olive #622,036,32.14
1244500,Eco-Friendly Creativity Maroon #30,DESA,5.81
1247401,High-Quality Software Maroon #492,036,39.39
1254302,Versatile Automotive Parts and Accessories Silver #57,333,2075.0
1254303,High-Quality Automotive Parts and Accessories White #827,333,2075.0
1257000,Luxurious Electronics Brown #857,27,182.41
1266200,Practical Books Yellow #159,26,28.66
1272801,Sophisticated Electronics Purple #343,27,110.48
1286800,Long-Lasting Vehicle Accessories Green #518,CRM,560.0
1287100,Useful Automotive Parts and Accessories Yellow #787,333,1390.0
1287200,Beautiful Automotive Parts and Accessories Purple #726,333,1339.29
1289000,Beautiful Kitchenware Gold #498,150,337.38
1289300,Long-Lasting Productivity Yellow #579,31,97.63
1291500,Useful Household Goods Cyan #410,1,172.21
1296000,Sophisticated Sports Equipment Black #615,MCT,108.03
1296100,Delicious Sports Equipment Teal #275,MCT,79.16
1296204,Sustainable Sports Equipment White #440,MCT,99.1
1296400,Modern Sports Equipment Navy #261,MCT,79.16
1296600,Modern Sports Equipment Silver #412,MCT,113.95
1296800,Fun Electronics Yellow #904,27,189.36
1297000,Versatile Electronics Black #20,27,189.36
1297300,High-Quality Electronics Yellow #504,27,123.26
1297400,Versatile Electronics Lime #905,27,123.26
1297500,Long-Lasting Electronics Olive #404,27,123.26
1297900,Useful Electronics Black #735,27,192.86
1298000,Delicious Electronics Silver #771,27,206.64
1298100,Modern Electronics Gray #936,27,179.28
1298500,Elegant Electronics White #419,27,207.36
1298600,Luxurious Sports Equipment Navy #899,MCT,120.43
1298800,Sustainable Sports Equipment Blue #502,MCT,120.96
1299000,Versatile Sports Equipment Red #668,MCT,121.51
1299100,Beautiful Sports Equipment Red #197,MCT,184.32
1299800,Modern Electronics Yellow #947,27,167.82
1319700,High-Quality Tools Red #685,BB,21.66
1319800,Comfortable Tools Gray #301,BB,31.48
1324900,Sustainable Electronics Orange #32,27,149.27
1325000,Useful Electronics Brown #77,27,109.38
1325100,Long-Lasting Electronics Black #611,27,207.3
1325200,Fun Electronics Olive #250,27,240.48
1325201,Durable Electronics Olive #259,27,154.76
1333700,Powerful Outdoor Gear Yellow #969,60,36.39
1336800,Fun Sports Equipment White #168,MCT,70.52
1336900,Eco-Friendly Sports Equipment Blue #149,MCT,86.69
1339600,Powerful Video Games Purple #274,HBE,3.89
1344800,Sustainable Creativity Gold #476,DESA,11.21
1348500,Elegant Sports Equipment Yellow #881,MCT,51.33
1352300,Practical Audiobooks Cyan #550,33,344.75
1357500,Durable Arts and Crafts Lime #167,190,22.44
1360600,Innovative Books White #341,49,102.87
1377703,Powerful Household Goods Teal #804,1,20.57
1377704,Long-Lasting Household Goods Teal #119,1,28.73
1380000,Luxurious Beauty Products Black #668,35,29.5
1399500,Elegant Health and Wellness Purple #152,DAL,18.39
1413601,Modern Food Yellow #79,36,58.84
1413602,Innovative Food Maroon #440,36,58.84
1413603,Sophisticated Food Maroon #504,36,58.84
1415900,Beautiful Video Games Purple #299,HBE,22.87
1416100,Delicious Video Games Lime #878,HBE,47.16
1417900,Elegant Electronics Navy #410,27,83.6
1418000,Beautiful Electronics Red #580,27,83.6
1418100,Useful Electronics Magenta #547,27,83.6
1418500,Stylish Electronics Teal #953,27,83.6
1418700,Delicious Electronics Gold #176,27,114.4
1419800,Durable Electronics Gold #858,27,115.28
1419801,Luxurious Electronics Orange #455,27,115.28
1420200,High-Quality Electronics Pink #558,27,158.4
1425300,Useful Household Goods Silver #700,1,149.38
1426200,Luxurious Electronics Blue #142,27,153.31
1426500,Sophisticated Home Decor Gold #324,FR,17.41
1427100,Sophisticated Electronics Pink #550,27,149.6
1427600,High-Quality Electronics Maroon #269,27,122.32
1427700,High-Quality Electronics Lime #766,27,122.32
1428300,Powerful Household Goods Purple #56,1,514.57
1432101,Powerful Electronics Yellow #977,27,185.04
1432102,Durable Electronics Teal #672,27,118.77
1432103,Useful Electronics Gold #300,27,167.82
1435102,Modern Video Games Blue #919,HBE,23.94
1445500,Delicious Food Green #627,36,14.06
1453000,Delicious Automotive Parts and Accessories Teal #511,333,977.03
1456700,Sophisticated Electronics Teal #415,27,128.75
1456701,Innovative Electronics Orange #196,27,128.75
1456800,Innovative Electronics Brown #467,27,133.42
1458100,Powerful Books Purple #282,26,51.05
1459900,Long-Lasting Marine Supplies Yellow #313,FXA,109.36
1460500,Elegant Marine Supplies Gray #703,FXA,109.36
1469900,Delicious Electronics Maroon #868,27,189.03
1471800,Powerful Electronics Silver #240,27,203.53
1472000,Sustainable Electronics Red #31,27,203.53
1472400,Beautiful Books Maroon #697,26,62.54
1475500,Stylish Software Maroon #222,OTMO,160.43
1475600,Powerful Software Pink #447,OTMO,153.32
1475700,Sophisticated Software Navy #580,OTMO,153.32
1475800,Beautiful Software Yellow #706,OTMO,181.67
1475802,Eco-Friendly Software Gray #589,OTMO,208.24
1475803,Elegant Software Gold #244,OTMO,208.24
1476000,Eco-Friendly Software Blue #617,OTMO,181.67
1484300,Versatile Electronics Pink #571,27,224.25
1489100,Luxurious Consoles Black #622,CBE,1177.55
1502400,High-Quality Health and Wellness Black #967,DAL,8.98
1517200,High-Quality Outdoor Gear Silver #536,60,0.93
1519300,Practical Hardware Gold #340,OJP,112.94
1524700,Innovative Kitchen Appliances Orange #61,CAE,2495.38
1530000,Durable Outdoor Gear Silver #780,60,2.65
1539800,Stylish Vehicle Accessories Red #705,CRM,560.0
1545504,Eco-Friendly Electronics Cyan #311,27,185.08
1545505,Innovative Electronics Blue #174,27,168.42
1545900,Sustainable Books Green #266,26,34.44
1547900,Versatile Video Games Magenta #840,HBE,1.5
1550400,Luxurious Software Red #188,036,13.95
1550500,Innovative Software Green #17,036,13.95
1562600,High-Quality Hobbies Orange #946,18,65.89
1563500,Delicious Flooring Blue #676,AL,78.03
1565900,Durable Kitchenware Silver #820,150,439.79
1566200,Comfortable Books Purple #61,49,42.15
1566400,Stylish Books Navy #104,49,40.04
1566800,Versatile Video Games Gold #213,CPOC,29.2
1566900,Luxurious Video Games Pink #512,CPOC,29.11
1567900,Eco-Friendly Hardware Navy #542,OJP,95.89
1570200,Long-Lasting Automotive Parts and Accessories Magenta #589,333,971.55
1570300,Fun Automotive Parts and Accessories Navy #547,333,971.55
1572800,Comfortable Pet Food Red #950,DSF,8.18
1573400,High-Quality Sports Equipment Black #250,MCT,108.0
1573700,Comfortable Sports Equipment Silver #756,MCT,58.37
1573800,Modern Sports Equipment Lime #721,MCT,120.96
1574000,Stylish Sports Equipment Silver #459,MCT,120.43
1578100,High-Quality Electronics Maroon #941,27,223.2
1578200,Eco-Friendly Electronics Green #289,27,173.38
1578400,Fun Electronics Brown #279,27,188.99
1581500,Long-Lasting Electronics Lime #84,27,154.76
1582301,Comfortable Construction Equipment Brown #190,DFM,88.3
1582400,Versatile Musical Instruments Olive #214,52,34.32
1583700,Versatile Watches White #729,CSF,178.29
1603700,Elegant Hardware Green #96,OJP,95.89
1607800,Comfortable Electronics Teal #427,27,187.48
1616900,Sophisticated Outdoor Gear Teal #824,60,0.65
1651200,High-Quality Bathroom Fixtures White #893,CS,139.64
1651500,Stylish Bathroom Fixtures Pink #373,CS,139.64
1657000,Sophisticated Home Appliances Gray #565,MMS,510.87
1657600,Modern Food Lime #76,36,9.42
1660001,Delicious Beauty Products Olive #375,35,49.82
1664000,Powerful Clothing Magenta #317,130,220.4
1664700,Eco-Friendly Watches Gray #515,ALE,416.67
1664800,Practical Clothing Magenta #875,130,66.06
1675500,Useful Consoles Cyan #993,CBE,1053.7
1679100,Useful Home Appliances Teal #558,MMS,559.64
1679200,Innovative Home Appliances Blue #790,MMS,559.02
1711400,Elegant Mens Watches White #193,69,7.46
1721300,Sustainable Watches Navy #376,CSF,96.0
1721400,Elegant Watches Olive #465,CSF,96.0
1723400,Sustainable Watches Magenta #754,CSF,96.0
1724000,Durable Watches Gold #652,CSF,96.0
1751100,High-Quality Tools Gold #81,BB,158.37
1751700,Eco-Friendly Creativity Silver #4,DESA,7.47
1783200,Powerful Watches Green #285,CSF,260.57
1793200,Long-Lasting Electronics Magenta #903,27,136.46
1796300,Fun Bathroom Fixtures Brown #289,CS,160.01
1807300,Practical Electronics White #635,27,141.04
1807301,Useful Electronics Brown #333,27,173.38
1832200,Fun Video Games Orange #543,CPOC,37.48
1832300,Sustainable Video Games White #758,CPOC,24.85
1837200,Long-Lasting Books Maroon #314,49,87.99
1837700,Beautiful Books Purple #450,49,125.75
1838300,Delicious Books Blue #479,49,77.51
1838500,Modern Books Green #392,49,77.52
1839500,Powerful Jewelry Brown #710,CR,2316.33
1870900,Sustainable Software Red #174,OTMO,160.0
1872900,Innovative Office Supplies Brown #294,DLN,66.1
1881400,Practical Tires and Wheels Navy #937,MCAT,62.41
1881600,Comfortable Tires and Wheels Red #752,MCAT,65.28
1881700,Powerful Tires and Wheels Green #988,MCAT,65.28
1881701,High-Quality Tires and Wheels Gray #175,MCAT,62.4
1881703,Fun Tires and Wheels Magenta #556,MCAT,62.41
1884700,Fun Outdoor Gear Silver #281,60,12.82
1884800,Stylish Books Black #532,49,57.45
1888700,Sustainable Musical Instruments Silver #547,52,17.16
1888900,Luxurious Books Blue #670,49,57.45
1897200,Luxurious Video Games Gray #429,CPOC,33.45
1897500,Beautiful Video Games Gray #686,CPOC,31.64
1899600,Eco-Friendly Electronics Magenta #49,27,153.4
1899800,Beautiful Electronics Teal #759,27,153.4
1901100,Durable Electronics Red #410,27,110.02
1901300,Powerful Electronics Green #472,27,110.02
1917100,High-Quality Hardware Brown #773,OJP,223.64
1918500,Fun Video Games Silver #374,CPOC,28.63
1918800,Elegant Video Games Silver #427,CPOC,30.18
1927600,Comfortable Household Goods Teal #818,1,514.57
1930000,Useful Construction Equipment Pink #27,DFM,4.69
1930100,Powerful Construction Equipment Red #571,DFM,1.93
1930200,Delicious Construction Equipment Black #935,DFM,2.09
1930202,Long-Lasting Construction Equipment Blue #279,DFM,1.89
1930400,Modern Construction Equipment Gray #818,DFM,5.15
1930500,Delicious Construction Equipment Navy #960,DFM,3.33
1932400,Versatile Hobbies Teal #649,18,22.93
1932500,Modern Hobbies Orange #877,18,22.92
1932600,Elegant Hobbies Purple #318,18,22.93
1944600,Innovative Outdoor Gear Teal #474,60,29.67
1956300,Long-Lasting Movies Cyan #862,DAV,25.73
1957900,Versatile Books Maroon #600,26,25.02
1959300,Useful Outdoor Gear Silver #979,60,1.19
1960800,Sophisticated Marine Supplies Orange #219,FXA,50.52
1961900,Powerful Watches Olive #524,CSF,124.8
1963100,Beautiful Watches Black #215,CSF,110.4
1968700,Durable Household Goods Blue #974,1,289.79
1968701,Sustainable Household Goods White #379,1,289.79
1968900,Sustainable Household Goods Purple #727,1,567.64
1970900,Sophisticated Watches Cyan #358,CSF,130.91
1971100,High-Quality Watches Silver #176,CSF,130.91
1977300,Fun Hobbies Magenta #529,18,22.93
1977500,Innovative Pet Food Black #71,DSF,9.19
1977600,High-Quality Pet Food Navy #617,DSF,8.18
1981400,Comfortable Automotive Parts and Accessories Maroon #622,333,1072.64
1981600,Sophisticated Pet Food Maroon #289,DSF,8.18
1981800,Fun Power Tools Silver #553,3333,7310.49
1981900,Fun Electronics Navy #696,27,189.36
1981901,Sustainable Electronics Brown #227,27,162.64
1996100,Sustainable Watches Magenta #56,CSF,130.91
1996300,Luxurious Watches Black #22,CSF,130.91
1996900,Eco-Friendly Watches Brown #292,CSF,130.91
1998900,Comfortable Bathroom Fixtures Gold #551,CS,120.0
2005800,Innovative Watches Lime #914,CSF,139.64
2005900,Modern Watches Green #763,CSF,139.64
2006200,Luxurious Watches Gold #939,CSF,139.64
2015300,High-Quality Home Decor Teal #476,FR,19.89
2015800,Powerful Software White #394,036,13.64
2025200,Stylish Automotive Parts and Accessories Green #906,333,799.0
2026101,Sophisticated Office Supplies Silver #527,DLN,12.08
2026102,Innovative Office Supplies Magenta #707,DLN,12.08
2026106,Fun Office Supplies Brown #170,DLN,12.71
2026200,Durable Office Supplies Red #528,DLN,8.68
2026300,Durable Office Supplies Navy #559,DLN,8.68
2026500,Delicious Automotive Parts and Accessories Purple #837,333,1606.63
2026600,Luxurious Automotive Parts and Accessories Olive #73,333,1606.63
2027000,Comfortable Jewelry Blue #586,CR,2123.74
2030800,Stylish Vehicle Accessories Olive #199,CRM,272.67
2031200,Beautiful Ebooks Blue #187,0,255.84
2033800,Delicious Ebooks Teal #513,0,255.89
2043700,Eco-Friendly Marine Supplies Gray #831,FXA,19.52
2050300,Beautiful Bathroom Fixtures Olive #32,CS,152.73
2063500,Eco-Friendly Watches White #427,CSF,109.09
2064900,Elegant Bathroom Fixtures Magenta #655,CS,130.91
2065000,Sophisticated Bathroom Fixtures Orange #781,CS,130.91
2065100,Powerful Bathroom Fixtures Green #792,CS,130.91
2069400,Versatile Audiobooks Green #902,33,220.0
2069600,Innovative Wall Decor Gold #801,CRS,414.54
2070000,Eco-Friendly Audiobooks Red #465,33,160.43
2070100,Eco-Friendly Audiobooks Gold #516,33,287.14
2071100,Stylish Toys Brown #618,42,1497.25
2071600,Powerful Books Olive #132,49,55.36
2072000,Beautiful Outdoor Gear White #11,60,29.9
2072200,Sophisticated Hardware Magenta #494,OJP,148.36
2077900,Modern Watches White #356,CSF,130.91
2078000,Long-Lasting Watches Magenta #950,CSF,130.91
2078500,Eco-Friendly Watches Orange #485,CSF,139.64
2082800,Sophisticated Watches Orange #947,CSF,130.91
2083100,Powerful Watches Yellow #524,CSF,130.91
2084000,Elegant Watches Lime #63,CSF,139.64
2084100,Powerful Watches Purple #715,CSF,139.64
2084300,Useful Watches Lime #607,CSF,139.64
2085400,Durable Watches Purple #181,CSF,120.0
2085900,High-Quality Watches Maroon #844,CSF,120.0
2086000,Durable Watches Teal #369,CSF,120.0
2087700,Long-Lasting Watches Yellow #463,CSF,139.64
2087800,Powerful Watches Olive #300,CSF,139.64
2088800,Luxurious Watches Maroon #527,CSF,110.4
2089200,Practical Musical Instruments Magenta #1,CSFC,130.91
2089300,Versatile Musical Instruments Olive #652,CSFC,130.91
2089500,Fun Musical Instruments Green #791,CSFC,130.91
2089700,Fun Watches Purple #260,CSF,139.64
2090100,Fun Watches Cyan #936,CSF,139.64
2091801,Eco-Friendly Bathroom Fixtures Silver #845,CS,96.0
2093100,Practical Arts and Crafts Olive #929,190,7.83
