codigo_produto,valor_monetario_total,quantidade,codigo_familia,custo_produto_unitario,descricaoproduto,descricaofamilia,lucro_produto
574500,3202.49,61,130,26.95,Long-Lasting Clothing Black #103,Clothing,1558.5399999999997
583200,9631.1,164,130,27.97,Powerful Clothing Purple #999,Clothing,5044.02
604800,3257.42,59,130,26.97,Comfortable Clothing Black #769,Clothing,1666.19
609800,1032.04,12,130,43.78,Versatile Clothing Cyan #975,Clothing,506.67999999999995
617800,4630.16,135,130,15.15,Versatile Clothing Green #95,Clothing,2584.91
638700,10326.66,253,130,23.38,Fun Clothing Navy #435,Clothing,4411.52
638701,264.4,5,130,28.57,Innovative Clothing Cyan #685,Clothing,121.54999999999998
641400,175.0,1,130,76.18,Modern Clothing Yellow #117,Clothing,98.82
649000,11011.19,391,130,12.18,Stylish Clothing Magenta #488,Clothing,6248.81
658900,5612.01,90,130,28.88,Stylish Clothing Yellow #952,Clothing,3012.8100000000004
686200,6083.81,133,130,20.14,Luxurious Clothing Magenta #21,Clothing,3405.1900000000005
691300,1387.75,56,130,13.89,Modern Clothing Cyan #721,Clothing,609.91
691400,6372.34,259,130,12.83,Useful Clothing Maroon #650,Clothing,3049.3700000000003
697900,525.0,3,130,76.18,Comfortable Clothing White #586,Clothing,296.46
704400,2226.45,84,130,16.18,Fun Clothing Orange #433,Clothing,867.3299999999999
704700,2786.38,92,130,17.93,Innovative Clothing Red #117,Clothing,1136.8200000000002
716400,177.0,4,130,22.03,Beautiful Clothing Gray #359,Clothing,88.88
716800,797.04,18,130,22.48,Eco-Friendly Clothing Blue #40,Clothing,392.4
723500,1675.66,50,130,18.5,Eco-Friendly Clothing Cyan #423,Clothing,750.6600000000001
752100,748.75,30,130,11.05,Elegant Clothing Silver #183,Clothing,417.25
771900,607.0,4,130,76.18,Powerful Clothing Magenta #912,Clothing,302.28
772000,525.0,3,130,76.18,Beautiful Clothing Black #885,Clothing,296.46
789100,5736.45,58,130,41.77,Eco-Friendly Clothing Magenta #105,Clothing,3313.7899999999995
798800,3959.0,38,130,53.04,Sustainable Clothing White #861,Clothing,1943.48
816100,181.35,2,130,61.71,Delicious Clothing Magenta #845,Clothing,57.92999999999999
906700,1290.07,31,130,18.45,Delicious Clothing Gold #724,Clothing,718.12
1006500,3838.25,29,130,67.49,Sophisticated Clothing Yellow #812,Clothing,1881.0400000000002
1177800,4644.75,197,130,10.46,Powerful Clothing Pink #186,Clothing,2584.1299999999997
1469500,5290.79,205,130,10.09,Sustainable Clothing Orange #943,Clothing,3222.34
1645300,54.75,1,130,26.63,Elegant Clothing Orange #760,Clothing,28.12
1663900,365.0,1,130,135.03,Eco-Friendly Clothing Black #701,Clothing,229.97
1664000,730.0,2,130,220.4,Powerful Clothing Magenta #317,Clothing,289.2
1664800,1369.0,10,130,66.06,Practical Clothing Magenta #875,Clothing,708.4
1704500,55.75,5,130,6.31,Sustainable Clothing Olive #295,Clothing,24.200000000000003
2326500,3624.2,124,130,13.74,Fun Clothing Gold #826,Clothing,1920.4399999999998
2326600,1474.78,65,130,10.01,Practical Clothing Lime #328,Clothing,824.13
2326700,2478.42,134,130,9.27,Durable Clothing Olive #648,Clothing,1236.2400000000002
2350600,2081.29,131,130,7.42,Fun Clothing Black #379,Clothing,1109.27
2435400,2181.0,67,130,17.98,Sophisticated Clothing Yellow #922,Clothing,976.3399999999999
2489100,1514.31,133,130,5.58,High-Quality Clothing White #692,Clothing,772.17
2509900,1743.1499999999999,95,130,8.88,Durable Clothing Gold #894,Clothing,899.5499999999998
2512600,1500.0,6,130,104.86,Sustainable Clothing Gold #902,Clothing,870.84
2716300,1776.86,101,130,7.11,Durable Clothing Silver #335,Clothing,1058.75
2726000,2053.9,32,130,22.48,Comfortable Clothing Magenta #670,Clothing,1334.54
2748100,1003.22,76,130,6.18,Innovative Clothing Brown #436,Clothing,533.5400000000001
2770600,98.0,3,130,14.62,Elegant Clothing Yellow #328,Clothing,54.14
2822200,433.2,11,130,20.45,Versatile Clothing Yellow #11,Clothing,208.25
2879800,365.0,1,130,220.41,Sophisticated Clothing Green #552,Clothing,144.59
2974100,5393.27,30,130,85.25,Modern Clothing Teal #254,Clothing,2835.7700000000004
2996100,656.25,24,130,12.72,Useful Clothing Blue #410,Clothing,350.96999999999997
2996200,759.3,34,130,10.66,Elegant Clothing Silver #701,Clothing,396.85999999999996
3002000,2475.6,99,130,12.17,Versatile Clothing Black #747,Clothing,1270.77
3006400,2843.7,110,130,11.66,High-Quality Clothing Purple #191,Clothing,1561.1
3043200,433.5,32,130,6.48,Long-Lasting Clothing Gold #683,Clothing,226.14
3043201,292.25,22,130,6.49,Comfortable Clothing Gold #290,Clothing,149.47
3043300,284.25,11,130,12.28,High-Quality Clothing Pink #509,Clothing,149.17000000000002
3043400,168.5,7,130,12.02,Long-Lasting Clothing Navy #775,Clothing,84.36
3043500,226.0,10,130,10.11,Long-Lasting Clothing White #735,Clothing,124.9
3043600,281.0,5,130,25.3,Long-Lasting Clothing Cyan #594,Clothing,154.5
3043700,266.5,4,130,30.64,High-Quality Clothing Cyan #945,Clothing,143.94
3043800,97.44,2,130,25.3,Practical Clothing Silver #334,Clothing,46.839999999999996
3049000,1352.5,3,130,196.93,Versatile Clothing Cyan #983,Clothing,761.71
3081400,73.59,3,130,12.97,Practical Clothing Cyan #70,Clothing,34.68
3081500,87.1,3,130,13.88,Sophisticated Clothing Gray #853,Clothing,45.459999999999994
3081600,116.7,4,130,12.72,Durable Clothing Pink #985,Clothing,65.82
3081700,503.26,18,130,13.1,Stylish Clothing Maroon #987,Clothing,267.46000000000004
3106600,220.0,11,130,10.33,Elegant Clothing Olive #399,Clothing,106.37
240900,173.0,2,60,35.58,Luxurious Outdoor Gear Teal #819,Outdoor Gear,101.84
268600,11674.61,413,60,12.25,Durable Outdoor Gear Teal #977,Outdoor Gear,6615.360000000001
269800,818.7,100,60,4.98,Useful Outdoor Gear Red #450,Outdoor Gear,320.7
359500,3734.4900000000002,5302,60,0.25,Elegant Outdoor Gear Yellow #400,Outdoor Gear,2408.9900000000002
369400,1542.79,1560,60,0.4,Elegant Outdoor Gear Yellow #175,Outdoor Gear,918.79
389300,6.0,4,60,0.61,Long-Lasting Outdoor Gear Navy #955,Outdoor Gear,3.56
396900,1004.3,32,60,11.81,Luxurious Outdoor Gear Teal #678,Outdoor Gear,626.3799999999999
424500,10938.49,3572,60,1.51,Durable Outdoor Gear Black #378,Outdoor Gear,5544.7699999999995
433000,13643.81,2838,60,2.61,Powerful Outdoor Gear Black #240,Outdoor Gear,6236.63
498600,456.97999999999996,172,60,1.19,Practical Outdoor Gear Teal #503,Outdoor Gear,252.29999999999998
504000,3667.98,473,60,3.29,Comfortable Outdoor Gear Teal #291,Outdoor Gear,2111.81
504001,369.25,44,60,3.51,Delicious Outdoor Gear Maroon #458,Outdoor Gear,214.81
569500,12351.95,101,60,54.26,Useful Outdoor Gear Olive #307,Outdoor Gear,6871.6900000000005
569600,13458.68,220,60,23.98,Delicious Outdoor Gear Maroon #603,Outdoor Gear,8183.08
612600,143.6,4,60,20.01,Delicious Outdoor Gear Red #282,Outdoor Gear,63.55999999999999
653200,9053.8,2518,60,1.66,Elegant Outdoor Gear Purple #498,Outdoor Gear,4873.919999999999
682700,154.2,253,60,0.22,Comfortable Outdoor Gear Purple #524,Outdoor Gear,98.53999999999999
691000,353.85,13,60,13.4,Beautiful Outdoor Gear White #329,Outdoor Gear,179.65
699600,55751.24,15636,60,1.67,Elegant Outdoor Gear Orange #698,Outdoor Gear,29639.12
699700,23910.16,5948,60,1.81,Delicious Outdoor Gear Blue #339,Outdoor Gear,13144.279999999999
723600,3799.48,132,60,12.37,Beautiful Outdoor Gear Navy #840,Outdoor Gear,2166.6400000000003
751800,720.4300000000001,221,60,1.32,Elegant Outdoor Gear Navy #970,Outdoor Gear,428.71000000000004
755100,10958.15,523,60,11.04,Innovative Outdoor Gear Blue #159,Outdoor Gear,5184.2300000000005
780100,2628.65,76,60,16.85,Delicious Outdoor Gear Black #135,Outdoor Gear,1348.05
794100,368.32,14,60,12.37,Luxurious Outdoor Gear Olive #938,Outdoor Gear,195.14000000000001
806700,1275.46,71,60,7.39,Modern Outdoor Gear White #524,Outdoor Gear,750.7700000000001
815500,6519.01,45,60,61.6,Luxurious Outdoor Gear Pink #470,Outdoor Gear,3747.01
828500,20762.19,5928,60,1.27,Sustainable Outdoor Gear Maroon #719,Outdoor Gear,13233.629999999997
838200,1023.5,23,60,19.02,Modern Outdoor Gear Black #317,Outdoor Gear,586.04
971000,752.5699999999999,26,60,12.37,Delicious Outdoor Gear White #429,Outdoor Gear,430.94999999999993
1011000,1927.49,681,60,1.05,Durable Outdoor Gear Red #503,Outdoor Gear,1212.44
1014000,2.1,1,60,1.11,Eco-Friendly Outdoor Gear Purple #803,Outdoor Gear,0.99
1112300,7022.66,228,60,12.37,Sophisticated Outdoor Gear Green #863,Outdoor Gear,4202.3
1250500,1091.37,366,60,1.16,Luxurious Outdoor Gear Cyan #313,Outdoor Gear,666.81
1333700,35910.29,597,60,36.39,Powerful Outdoor Gear Yellow #969,Outdoor Gear,14185.46
1517200,1898.83,775,60,0.93,High-Quality Outdoor Gear Silver #536,Outdoor Gear,1178.08
1530000,1452.72,319,60,2.65,Durable Outdoor Gear Silver #780,Outdoor Gear,607.37
1616900,1697.3,1152,60,0.65,Sophisticated Outdoor Gear Teal #824,Outdoor Gear,948.4999999999999
1758200,363.09000000000003,20,60,6.2,Long-Lasting Outdoor Gear Lime #592,Outdoor Gear,239.09000000000003
1772100,20.2,1,60,8.3,Modern Outdoor Gear Lime #459,Outdoor Gear,11.899999999999999
1884700,342.3,15,60,12.82,Fun Outdoor Gear Silver #281,Outdoor Gear,150.0
1894400,20474.91,447,60,23.94,Durable Outdoor Gear Red #199,Outdoor Gear,9773.73
1929100,924.8,145,60,2.91,Stylish Outdoor Gear Teal #353,Outdoor Gear,502.8499999999999
1944500,66.75,2,60,15.45,Modern Outdoor Gear Orange #668,Outdoor Gear,35.85
1944600,2778.74,40,60,29.67,Innovative Outdoor Gear Teal #474,Outdoor Gear,1591.9399999999996
1959300,1415.5,574,60,1.19,Useful Outdoor Gear Silver #979,Outdoor Gear,732.44
2071900,2289.61,35,60,34.9,Fun Outdoor Gear Orange #842,Outdoor Gear,1068.1100000000001
2072000,38.0,1,60,29.9,Beautiful Outdoor Gear White #11,Outdoor Gear,8.100000000000001
2213400,634.72,32,60,7.72,Luxurious Outdoor Gear Blue #489,Outdoor Gear,387.68000000000006
2281100,4097.36,181,60,10.03,Modern Outdoor Gear Teal #801,Outdoor Gear,2281.93
2339400,7.5,3,60,1.5,Versatile Outdoor Gear Orange #742,Outdoor Gear,3.0
2383500,81.0,1,60,46.96,Beautiful Outdoor Gear Red #30,Outdoor Gear,34.04
2570800,2976.52,98,60,12.76,Sophisticated Outdoor Gear Red #995,Outdoor Gear,1726.04
2591900,7718.37,801,60,4.41,High-Quality Outdoor Gear Yellow #915,Outdoor Gear,4185.959999999999
2592000,37.06,17,60,1.76,Innovative Outdoor Gear Gray #46,Outdoor Gear,7.140000000000001
2619200,2.5,4,60,0.24,Versatile Outdoor Gear Olive #654,Outdoor Gear,1.54
2619201,0.65,1,60,0.22,Luxurious Outdoor Gear Gold #262,Outdoor Gear,0.43000000000000005
2619202,1.3,2,60,0.22,Powerful Outdoor Gear Brown #58,Outdoor Gear,0.8600000000000001
2643100,8369.45,4393,60,0.74,Long-Lasting Outdoor Gear Lime #868,Outdoor Gear,5118.630000000001
2645500,7693.87,313,60,11.76,Innovative Outdoor Gear Black #714,Outdoor Gear,4012.99
2702100,24.200000000000003,7,60,1.81,Durable Outdoor Gear Purple #729,Outdoor Gear,11.530000000000003
2723600,801.2,388,60,0.57,Elegant Outdoor Gear Navy #725,Outdoor Gear,580.0400000000001
2730300,14283.66,834,60,9.5,Luxurious Outdoor Gear Gray #931,Outdoor Gear,6360.66
2748300,0.5,1,60,0.19,Modern Outdoor Gear Brown #80,Outdoor Gear,0.31
2748301,0.55,1,60,0.19,Modern Outdoor Gear Gold #753,Outdoor Gear,0.36000000000000004
2749100,176.85,62,60,1.36,Useful Outdoor Gear Cyan #810,Outdoor Gear,92.52999999999999
2751500,3181.9100000000003,159,60,9.84,Eco-Friendly Outdoor Gear Silver #733,Outdoor Gear,1617.3500000000004
2751600,1734.76,89,60,9.28,Durable Outdoor Gear Navy #542,Outdoor Gear,908.84
2785100,8467.32,1355,60,3.52,Fun Outdoor Gear Gold #829,Outdoor Gear,3697.7199999999993
2821100,16361.460000000001,444,60,23.0,Modern Outdoor Gear Teal #478,Outdoor Gear,6149.460000000001
2821101,11886.79,305,60,23.2,Stylish Outdoor Gear Blue #169,Outdoor Gear,4810.790000000001
2821200,34006.06,622,60,26.24,Luxurious Outdoor Gear Maroon #251,Outdoor Gear,17684.78
2821300,1412.91,129,60,7.31,Sustainable Outdoor Gear Navy #121,Outdoor Gear,469.9200000000002
2877700,22431.57,1217,60,11.35,Fun Outdoor Gear Cyan #483,Outdoor Gear,8618.62
2890600,716.65,102,60,2.96,Delicious Outdoor Gear Magenta #981,Outdoor Gear,414.72999999999996
2911200,35887.16,2237,60,10.9,Delicious Outdoor Gear Yellow #823,Outdoor Gear,11503.860000000004
2967600,341.08,87,60,1.63,Modern Outdoor Gear Gold #701,Outdoor Gear,199.26999999999998
2982800,1681.61,1001,60,0.58,Practical Outdoor Gear Purple #199,Outdoor Gear,1101.03
2988700,512.8,43,60,5.94,Elegant Outdoor Gear Yellow #496,Outdoor Gear,257.37999999999994
2991400,110.0,10,60,4.27,Sustainable Outdoor Gear Maroon #414,Outdoor Gear,67.30000000000001
3014500,672.52,281,60,1.06,Beautiful Outdoor Gear Maroon #339,Outdoor Gear,374.65999999999997
3020600,5187.78,3342,60,0.54,Beautiful Outdoor Gear Gray #198,Outdoor Gear,3383.0999999999995
3023500,0.9,1,60,0.4,Luxurious Outdoor Gear Gold #35,Outdoor Gear,0.5
3039500,22.6,2,60,4.9,Powerful Outdoor Gear Teal #643,Outdoor Gear,12.8
3039600,28.1,3,60,4.9,Durable Outdoor Gear Maroon #561,Outdoor Gear,13.4
3064500,1394.24,69,60,10.77,Modern Outdoor Gear Black #916,Outdoor Gear,651.11
3069200,7686.68,131,60,34.05,Modern Outdoor Gear Green #763,Outdoor Gear,3226.130000000001
3070200,1336.5,814,60,0.6,High-Quality Outdoor Gear Olive #613,Outdoor Gear,848.1
3073200,20.15,19,60,0.52,Powerful Outdoor Gear Gray #181,Outdoor Gear,10.269999999999998
3095300,37.94,10,60,1.41,Modern Outdoor Gear Gray #451,Outdoor Gear,23.839999999999996
243800,20439.16,61,33,194.99,Stylish Audiobooks White #656,Audiobooks,8544.769999999999
653500,10189.7,17,33,342.5,Stylish Audiobooks Pink #789,Audiobooks,4367.200000000001
1051600,22591.66,36,33,380.18,Stylish Audiobooks Silver #546,Audiobooks,8905.18
1095700,5632.0,9,33,370.48,High-Quality Audiobooks Brown #190,Audiobooks,2297.68
1153400,6224.15,9,33,404.77,Versatile Audiobooks Gold #757,Audiobooks,2581.22
1352300,3073.2,5,33,344.75,Practical Audiobooks Cyan #550,Audiobooks,1349.4499999999998
2021100,40880.07,170,33,145.0,Powerful Audiobooks Maroon #530,Audiobooks,16230.07
2069400,19359.34,48,33,220.0,Versatile Audiobooks Green #902,Audiobooks,8799.34
2070000,61401.48,244,33,160.43,Eco-Friendly Audiobooks Red #465,Audiobooks,22256.560000000005
2070100,20644.59,43,33,287.14,Eco-Friendly Audiobooks Gold #516,Audiobooks,8297.570000000002
2114200,5173.5,11,33,277.45,Modern Audiobooks White #114,Audiobooks,2121.55
2216300,413.0,1,33,229.24,Practical Audiobooks Green #612,Audiobooks,183.76
2364800,31689.3,83,33,223.2,Delicious Audiobooks Lime #515,Audiobooks,13163.7
2552600,87258.1,255,33,169.2,Stylish Audiobooks Gold #877,Audiobooks,44112.100000000006
2552700,49492.02,77,33,323.11,Stylish Audiobooks Black #826,Audiobooks,24612.549999999996
2728000,30064.43,77,33,226.97,Powerful Audiobooks Magenta #894,Audiobooks,12587.740000000002
2829500,5201.0,13,33,239.0,Fun Audiobooks Green #816,Audiobooks,2094.0
2829600,7628.0,16,33,275.0,Durable Audiobooks Silver #687,Audiobooks,3228.0
2911700,1311.2,2,33,406.26,Beautiful Audiobooks Gold #598,Audiobooks,498.68000000000006
2941900,52902.83,188,33,134.1,Comfortable Audiobooks Gray #403,Audiobooks,27692.030000000002
2985400,1368.45,3,33,290.0,Long-Lasting Audiobooks Brown #439,Audiobooks,498.45000000000005
254800,16926.45,466,DFM,17.81,Innovative Construction Equipment Brown #962,Construction Equipment,8626.990000000002
255100,29737.13,3221,DFM,4.8,Innovative Construction Equipment Blue #718,Construction Equipment,14276.330000000002
255200,6396.08,656,DFM,4.65,Luxurious Construction Equipment Black #88,Construction Equipment,3345.68
255400,25442.420000000002,1406,DFM,9.08,Delicious Construction Equipment Cyan #879,Construction Equipment,12675.940000000002
255900,48584.55,1438,DFM,16.1,Powerful Construction Equipment Maroon #954,Construction Equipment,25432.75
503900,27484.9,3358,DFM,4.21,Fun Construction Equipment Pink #265,Construction Equipment,13347.720000000001
511100,55209.63,3074,DFM,8.91,Fun Construction Equipment Brown #108,Construction Equipment,27820.289999999997
539700,15014.76,1705,DFM,4.66,High-Quality Construction Equipment White #912,Construction Equipment,7069.46
589800,19675.41,3543,DFM,2.64,Long-Lasting Construction Equipment Yellow #823,Construction Equipment,10321.89
1582300,17962.61,365,DFM,24.13,Practical Construction Equipment Cyan #469,Construction Equipment,9155.160000000002
1582301,6432.13,35,DFM,88.3,Comfortable Construction Equipment Brown #190,Construction Equipment,3341.63
1929900,12467.66,594,DFM,9.93,Long-Lasting Construction Equipment Maroon #334,Construction Equipment,6569.24
1930000,20628.079999999998,2042,DFM,4.69,Useful Construction Equipment Pink #27,Construction Equipment,11051.099999999997
1930100,5013.45,1259,DFM,1.93,Powerful Construction Equipment Red #571,Construction Equipment,2583.58
1930200,2419.74,535,DFM,2.09,Delicious Construction Equipment Black #935,Construction Equipment,1301.59
1930201,20.43,7,DFM,1.56,Versatile Construction Equipment Gold #904,Construction Equipment,9.51
1930202,205.26,54,DFM,1.89,Long-Lasting Construction Equipment Blue #279,Construction Equipment,103.2
1930203,3.95,1,DFM,1.63,Fun Construction Equipment Navy #544,Construction Equipment,2.3200000000000003
1930300,6591.15,268,DFM,10.88,Versatile Construction Equipment Lime #723,Construction Equipment,3675.3099999999995
1930400,8362.3,742,DFM,5.15,Modern Construction Equipment Gray #818,Construction Equipment,4540.999999999999
1930500,7661.42,1049,DFM,3.33,Delicious Construction Equipment Navy #960,Construction Equipment,4168.25
1931000,2621.2400000000002,543,DFM,2.52,Beautiful Construction Equipment Cyan #943,Construction Equipment,1252.8800000000003
2036400,66409.66,923,DFM,32.83,Beautiful Construction Equipment Silver #899,Construction Equipment,36107.57000000001
2501500,1217.6,22,DFM,42.1,Delicious Construction Equipment Yellow #11,Construction Equipment,291.39999999999986
2501600,682.0,5,DFM,89.1,Long-Lasting Construction Equipment Maroon #767,Construction Equipment,236.5
2781400,1286.95,36,DFM,17.62,Modern Construction Equipment Pink #1,Construction Equipment,652.63
2781401,3865.2799999999997,82,DFM,28.86,Versatile Construction Equipment Purple #104,Construction Equipment,1498.7599999999998
2799900,21920.21,235,DFM,46.25,Useful Construction Equipment Blue #526,Construction Equipment,11051.46
2809000,70.0,1,DFM,32.2,Elegant Construction Equipment Teal #659,Construction Equipment,37.8
2966900,8674.39,192,DFM,21.28,Elegant Construction Equipment Yellow #264,Construction Equipment,4588.629999999999
3079000,596.12,14,DFM,21.45,Long-Lasting Construction Equipment Maroon #219,Construction Equipment,295.82
3079001,1916.0,22,DFM,41.11,Sophisticated Construction Equipment Silver #864,Construction Equipment,1011.58
3113900,40.5,1,DFM,24.0,Versatile Construction Equipment Cyan #26,Construction Equipment,16.5
3113901,209.18,6,DFM,21.05,Fun Construction Equipment Olive #662,Construction Equipment,82.88
275700,35107.95,38384,67,0.41,Elegant Furniture Red #513,Furniture,19370.51
275800,37756.96,50572,67,0.32,Comfortable Furniture Silver #793,Furniture,21573.92
275900,10997.48,8297,67,0.56,Sustainable Furniture Silver #352,Furniture,6351.159999999999
419200,11542.74,629,67,9.35,Sustainable Furniture Yellow #666,Furniture,5661.59
447400,64543.89,120981,67,0.22,Practical Furniture Magenta #225,Furniture,37928.07
643900,232.79999999999998,11,67,10.0,Luxurious Furniture Green #208,Furniture,122.79999999999998
743700,37975.5,13317,67,1.49,Comfortable Furniture Navy #358,Furniture,18133.170000000002
745300,34197.07,17883,67,0.78,Beautiful Furniture Silver #399,Furniture,20248.33
